Model,Spacing,Accuracy,Set Size
Baseline,0.05000000074505806,0.5315999984741211,1
Multi-Head Attention,0.05000000074505806,0.5906000137329102,8
TopK,0.05000000074505806,0.5773000121116638,8
Mean,0.05000000074505806,0.5874000191688538,8
Multi-Head Attention,0.05000000074505806,0.67330002784729,32
TopK,0.05000000074505806,0.6751000285148621,32
Mean,0.05000000074505806,0.6644999980926514,32
Multi-Head Attention,0.05000000074505806,0.8180000185966492,128
TopK,0.05000000074505806,0.75,128
Mean,0.05000000074505806,0.8048999905586243,128
Baseline,0.10000000149011612,0.5491999983787537,1
Multi-Head Attention,0.10000000149011612,0.6272000074386597,8
TopK,0.10000000149011612,0.6177999973297119,8
Mean,0.10000000149011612,0.6302000284194946,8
Multi-Head Attention,0.10000000149011612,0.7411999702453613,32
TopK,0.10000000149011612,0.7358999848365784,32
Mean,0.10000000149011612,0.7440999746322632,32
Multi-Head Attention,0.10000000149011612,0.8971999883651733,128
TopK,0.10000000149011612,0.8282999992370605,128
Mean,0.10000000149011612,0.9099000096321106,128
Baseline,0.15000000596046448,0.5884000062942505,1
Multi-Head Attention,0.15000000596046448,0.7195000052452087,8
TopK,0.15000000596046448,0.7267000079154968,8
Mean,0.15000000596046448,0.7225000262260437,8
Multi-Head Attention,0.15000000596046448,0.8871999979019165,32
TopK,0.15000000596046448,0.842199981212616,32
Mean,0.15000000596046448,0.8891000151634216,32
Multi-Head Attention,0.15000000596046448,0.9926999807357788,128
TopK,0.15000000596046448,0.9545000195503235,128
Mean,0.15000000596046448,0.9911999702453613,128
Baseline,0.20000000298023224,0.6017000079154968,1
Multi-Head Attention,0.20000000298023224,0.7634999752044678,8
TopK,0.20000000298023224,0.7526000142097473,8
Mean,0.20000000298023224,0.7592999935150146,8
Multi-Head Attention,0.20000000298023224,0.9289000034332275,32
TopK,0.20000000298023224,0.9153000116348267,32
Mean,0.20000000298023224,0.9246000051498413,32
Multi-Head Attention,0.20000000298023224,0.9976000189781189,128
TopK,0.20000000298023224,0.9781000018119812,128
Mean,0.20000000298023224,0.9980999827384949,128
Baseline,0.25,0.6258000135421753,1
Multi-Head Attention,0.25,0.8151999711990356,8
TopK,0.25,0.8008000254631042,8
Mean,0.25,0.8083999752998352,8
Multi-Head Attention,0.25,0.961899995803833,32
TopK,0.25,0.9520000219345093,32
Mean,0.25,0.9599000215530396,32
Multi-Head Attention,0.25,0.9998000264167786,128
TopK,0.25,0.993399977684021,128
Mean,0.25,0.9995999932289124,128
Baseline,0.30000001192092896,0.6474000215530396,1
Multi-Head Attention,0.30000001192092896,0.8615999817848206,8
TopK,0.30000001192092896,0.8582000136375427,8
Mean,0.30000001192092896,0.8589000105857849,8
Multi-Head Attention,0.30000001192092896,0.9797999858856201,32
TopK,0.30000001192092896,0.9696000218391418,32
Mean,0.30000001192092896,0.9860000014305115,32
Multi-Head Attention,0.30000001192092896,0.9998999834060669,128
TopK,0.30000001192092896,0.9945999979972839,128
Mean,0.30000001192092896,1.0,128
Baseline,0.3499999940395355,0.6632000207901001,1
Multi-Head Attention,0.3499999940395355,0.8852999806404114,8
TopK,0.3499999940395355,0.8816999793052673,8
Mean,0.3499999940395355,0.8865000009536743,8
Multi-Head Attention,0.3499999940395355,0.9925000071525574,32
TopK,0.3499999940395355,0.9857000112533569,32
Mean,0.3499999940395355,0.993399977684021,32
Multi-Head Attention,0.3499999940395355,1.0,128
TopK,0.3499999940395355,0.9979000091552734,128
Mean,0.3499999940395355,1.0,128
Baseline,0.4000000059604645,0.6866999864578247,1
Multi-Head Attention,0.4000000059604645,0.919700026512146,8
TopK,0.4000000059604645,0.917900025844574,8
Mean,0.4000000059604645,0.9214000105857849,8
Multi-Head Attention,0.4000000059604645,0.9976000189781189,32
TopK,0.4000000059604645,0.9945999979972839,32
Mean,0.4000000059604645,0.9975000023841858,32
Multi-Head Attention,0.4000000059604645,1.0,128
TopK,0.4000000059604645,0.9983000159263611,128
Mean,0.4000000059604645,1.0,128
Baseline,0.45000001788139343,0.718500018119812,1
Multi-Head Attention,0.45000001788139343,0.9509999752044678,8
TopK,0.45000001788139343,0.9463000297546387,8
Mean,0.45000001788139343,0.9484000205993652,8
Multi-Head Attention,0.45000001788139343,0.9993000030517578,32
TopK,0.45000001788139343,0.9958000183105469,32
Mean,0.45000001788139343,0.9994000196456909,32
Multi-Head Attention,0.45000001788139343,1.0,128
TopK,0.45000001788139343,0.9998999834060669,128
Mean,0.45000001788139343,1.0,128
Baseline,0.5,0.7378000020980835,1
Multi-Head Attention,0.5,0.9638000130653381,8
TopK,0.5,0.9617999792098999,8
Mean,0.5,0.9635999798774719,8
Multi-Head Attention,0.5,0.9997000098228455,32
TopK,0.5,0.9987000226974487,32
Mean,0.5,0.9983999729156494,32
Multi-Head Attention,0.5,1.0,128
TopK,0.5,0.9995999932289124,128
Mean,0.5,1.0,128
Baseline,0.550000011920929,0.7516000270843506,1
Multi-Head Attention,0.550000011920929,0.9715999960899353,8
TopK,0.550000011920929,0.9745000004768372,8
Mean,0.550000011920929,0.9735000133514404,8
Multi-Head Attention,0.550000011920929,1.0,32
TopK,0.550000011920929,0.9994000196456909,32
Mean,0.550000011920929,0.9998000264167786,32
Multi-Head Attention,0.550000011920929,1.0,128
TopK,0.550000011920929,1.0,128
Mean,0.550000011920929,1.0,128
Baseline,0.6000000238418579,0.7791000008583069,1
Multi-Head Attention,0.6000000238418579,0.9850999712944031,8
TopK,0.6000000238418579,0.9832000136375427,8
Mean,0.6000000238418579,0.9837999939918518,8
